State,State Abbreviation,State FIPS Code,Alcohol/Liquor Stores Open,Allow restaurants to sell takeout alcohol ,Allow restaurants to deliver alcohol,Keep Firearms Sellers Open,,Notes
Alabama,AL,1,1,3/24/2020,3/24/2020,1,,
Alaska,AK,2,1,3/17/2020,3/17/2020,1,,"AK - Firearm sellers considered non-essential, but allowed to remain open if they adhere to social distancing requirements"
Arizona,AZ,4,1,3/19/2020,3/19/2020,1,,
Arkansas,AR,5,1,3/19/2020,3/19/2020,1,,
California,CA,6,1,3/19/2020,3/19/2020,0,,
Colorado,CO,8,1,3/20/2020,3/20/2020,1,,
Connecticut,CT,9,1,3/19/2020,4/24/2020,1,,
Delaware,DE,10,1,3/18/2020,0,1,,DE - Firearm sellers originally classified as non-essential and ordered to close (3/22); state reversed decision and allowed firearm stores to reopen 3/26
District of Columbia,DC,11,1,3/17/2020,3/17/2020,0,,
Florida,FL,12,1,3/20/2020,3/20/2020,1,,
Georgia,GA,13,1,3/24/2020,0,1,,
Hawaii,HI,15,1,4/16/2020,4/16/2020,1,,
Idaho,ID,16,1,3/23/2020,3/23/2020,1,,
Illinois,IL,17,1,3/16/2020,3/16/2020,1,,
Indiana,IN,18,1,3/23/2020,0,1,,
Iowa,IA,19,1,3/20/2020,3/20/2020,1,,
Kansas,KS,20,1,3/18/2020,0,1,,
Kentucky,KY,21,1,3/16/2020,3/19/2020,1,,
Louisiana,LA,22,1,3/16/2020,3/16/2020,1,,
Maine,ME,23,1,3/18/2020,3/18/2020,1,,
Maryland,MD,24,1,3/19/2020,0,1,,
Massachusetts,MA,25,1,4/3/2020,4/3/2020,0,,
Michigan,MI,26,1,0,0,0,,
Minnesota,MN,27,1,4/18/2020,0,1,,
Mississippi,MS,28,1,3/19/2020,0,1,,
Missouri,MO,29,1,4/14/2020,0,1,,
Montana,MT,30,1,4/27/2020,4/27/2020,1,,
Nebraska,NE,31,1,3/19/2020,3/19/2020,1,,
Nevada,NV,32,0,0,0,1,,
New Hampshire,NH,33,1,3/18/2020,3/18/2020,1,,
New Jersey,NJ,34,1,3/21/2020,3/30/2020,1,,NJ - Firearm sellers originally classified as non-essential and closed 3/21; state reversed decision and reopened 3/30
New Mexico,NM,35,0,0,0,0,,NM - Firearm sellers reopened 4/30
New York,NY,36,1,3/16/2020,3/16/2020,0,,
North Carolina,NC,37,1,3/17/2020,3/17/2020,1,,"NC - Firearm sellers not considered essential businesses, but allowed to operate at minimum basic operations as long as social distancing measures are kept in place"
North Dakota,ND,38,1,0,0,1,,
Ohio,OH,39,1,4/7/2020,4/7/2020,1,,
Oklahoma,OK,40,1,3/23/2020,3/24/2020,1,,
Oregon,OR,41,1,3/19/2020,3/19/2020,1,,
Pennsylvania,PA,42,1,3/18/2020,0,1,,PA - Originally closed firearm stores with non-essential business closure order; reversed decision 3/24 and allowed to remain open by appointment
Rhode Island,RI,44,1,5/8/2020,0,1,,
South Carolina,SC,45,1,3/21/2020,0,1,,
South Dakota,SD,46,1,0,0,1,,
Tennessee,TN,47,1,3/23/2020,3/23/2020,1,,
Texas,TX,48,1,3/19/2020,3/19/2020,1,,
Utah,UT,49,1,0,0,1,,
Vermont,VT,50,1,3/20/2020,3/20/2020,1,,"VT - Original non-essential business closure order closed firearm sellers, governor reversed decision 4/3"
Virginia,VA,51,1,3/16/2020,3/19/2020,1,,"VA - Firearm sellers considered non-essential, but allowed to operate with restrictions"
Washington,WA,53,1,3/24/2020,3/24/2020,0,,
West Virginia,WV,54,1,3/18/2020,3/18/2020,1,,
Wisconsin,WI,55,1,3/20/2020,0,1,,
Wyoming,WY,56,1,3/30/2020,0,1,,
Total,,,49,45,32,44,,
